Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
battlegear2:flagpole:0, Oak Flag Pole
battlegear2:flagpole:1, Spruce Flag Pole
battlegear2:flagpole:2, Birch Flag Pole
battlegear2:flagpole:3, Jungle Flag Pole
battlegear2:flagpole:4, Iron Flag Pole
battlegear2:flagpole:5, Acacia Flag Pole
battlegear2:flagpole:6, Dark Oak Flag Pole
AgriCraft:crops, Crop Sticks
AgriCraft:seedAnalyzer, Seed Analyzer
AgriCraft:waterPad, Water Pad
AgriCraft:waterPadFull, Water Pad
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:sprinkler, Sprinkler
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:cropPotato, Potato
AgriCraft:cropCarrot, Carrot
AgriCraft:cropSugarcane, Sugarcane
AgriCraft:cropDandelion, Dandelion
AgriCraft:cropPoppy, Poppy
AgriCraft:cropOrchid, Orchid
AgriCraft:cropAllium, Allium
AgriCraft:cropTulipRed, Red Tulip
AgriCraft:cropTulipOrange, Orange Tulip
AgriCraft:cropTulipWhite, White Tulip
AgriCraft:cropTulipPink, Pink Tulip
AgriCraft:cropDaisy, Daisy
AgriCraft:cropCactus, Cactus
AgriCraft:cropShroomRed, Red Mushroom
AgriCraft:cropShroomBrown, Brown Mushroom
appliedenergistics2:tile.OreQuartz, Certus Quartz Ore
appliedenergistics2:tile.OreQuartzCharged, Charged Certus Quartz Ore
appliedenergistics2:tile.BlockMatrixFrame, Matrix Frame
appliedenergistics2:tile.BlockQuartz, Certus Quartz Block
appliedenergistics2:tile.BlockQuartzPillar, Certus Quartz Pillar
appliedenergistics2:tile.BlockQuartzChiseled, Chiseled Certus Quartz Block
appliedenergistics2:tile.BlockQuartzGlass, Quartz Glass
appliedenergistics2:tile.BlockQuartzLamp, Vibrant Quartz Glass
appliedenergistics2:tile.BlockQuartzTorch, Charged Quartz Fixture
appliedenergistics2:tile.BlockFluix, Fluix Block
appliedenergistics2:tile.BlockSkyStone:0, Sky Stone
appliedenergistics2:tile.BlockSkyStone:1, Sky Stone Block
appliedenergistics2:tile.BlockSkyStone:2, Sky Stone Brick
appliedenergistics2:tile.BlockSkyStone:3, Sky Stone Small Brick
appliedenergistics2:tile.BlockSkyChest:0, Sky Stone Chest
appliedenergistics2:tile.BlockSkyChest:1, Sky Stone Block Chest
appliedenergistics2:tile.BlockSkyCompass, Meteorite Compass
appliedenergistics2:tile.BlockGrinder, Quartz Grindstone
appliedenergistics2:tile.BlockCrank, Wooden Crank
appliedenergistics2:tile.BlockInscriber, Inscriber
